# beta,mu,Lmax
5.000000000000000000e-01,1.000000000000000082e-05,-9.041104170185178646e+00
5.000000000000000000e-01,1.120000000000000119e-03,-9.039583702396505771e+00
5.000000000000000000e-01,2.230000000000000211e-03,-9.040503008078147218e+00
5.000000000000000000e-01,3.340000000000000521e-03,-9.041277170346322833e+00
5.000000000000000000e-01,4.449999999999999963e-03,-9.040449846840589387e+00
5.000000000000000000e-01,5.559999999999999838e-03,-9.040265100302196544e+00
5.000000000000000000e-01,6.670000000000000581e-03,-9.040634821211304128e+00
5.000000000000000000e-01,7.780000000000000457e-03,-9.039493728928514216e+00
5.000000000000000000e-01,8.890000000000000333e-03,-9.039237278729478575e+00
5.000000000000000000e-01,1.000000000000000021e-02,-9.041438487630529153e+00
1.555555555555555580e+00,1.000000000000000082e-05,-9.039033943496173507e+00
1.555555555555555580e+00,1.120000000000000119e-03,-9.040455599186962843e+00
1.555555555555555580e+00,2.230000000000000211e-03,-9.038859869991499707e+00
1.555555555555555580e+00,3.340000000000000521e-03,-9.039396451919548880e+00
1.555555555555555580e+00,4.449999999999999963e-03,-9.039312896611928494e+00
1.555555555555555580e+00,5.559999999999999838e-03,-9.039906182862941009e+00
1.555555555555555580e+00,6.670000000000000581e-03,-9.039314098387210450e+00
1.555555555555555580e+00,7.780000000000000457e-03,-9.039424155348106282e+00
1.555555555555555580e+00,8.890000000000000333e-03,-9.039582096051100635e+00
1.555555555555555580e+00,1.000000000000000021e-02,-9.039518573998238438e+00
2.611111111111111160e+00,1.000000000000000082e-05,-9.038848319417800425e+00
2.611111111111111160e+00,1.120000000000000119e-03,-9.037987728464340620e+00
2.611111111111111160e+00,2.230000000000000211e-03,-9.038125532287738295e+00
2.611111111111111160e+00,3.340000000000000521e-03,-9.039652029874869044e+00
2.611111111111111160e+00,4.449999999999999963e-03,-9.037587725712688425e+00
2.611111111111111160e+00,5.559999999999999838e-03,-9.039476718825751433e+00
2.611111111111111160e+00,6.670000000000000581e-03,-9.039416582949646894e+00
2.611111111111111160e+00,7.780000000000000457e-03,-9.038723324449732033e+00
2.611111111111111160e+00,8.890000000000000333e-03,-9.038826356352380742e+00
2.611111111111111160e+00,1.000000000000000021e-02,-9.039445878069516382e+00
3.666666666666666963e+00,1.000000000000000082e-05,-9.038440612110310468e+00
3.666666666666666963e+00,1.120000000000000119e-03,-9.039356611192223667e+00
3.666666666666666963e+00,2.230000000000000211e-03,-9.038263470286230117e+00
3.666666666666666963e+00,3.340000000000000521e-03,-9.037611126585700205e+00
3.666666666666666963e+00,4.449999999999999963e-03,-9.038206978632636890e+00
3.666666666666666963e+00,5.559999999999999838e-03,-9.039551482066423560e+00
3.666666666666666963e+00,6.670000000000000581e-03,-9.037509888974076588e+00
3.666666666666666963e+00,7.780000000000000457e-03,-9.039542658928832353e+00
3.666666666666666963e+00,8.890000000000000333e-03,-9.039354666929780180e+00
3.666666666666666963e+00,1.000000000000000021e-02,-9.039441353758745024e+00
4.722222222222222321e+00,1.000000000000000082e-05,-9.038470444597548337e+00
4.722222222222222321e+00,1.120000000000000119e-03,-9.040120534417713571e+00
4.722222222222222321e+00,2.230000000000000211e-03,-9.037581198927755466e+00
4.722222222222222321e+00,3.340000000000000521e-03,-9.039427262233880711e+00
4.722222222222222321e+00,4.449999999999999963e-03,-9.038459896617103695e+00
4.722222222222222321e+00,5.559999999999999838e-03,-9.040787322935189607e+00
4.722222222222222321e+00,6.670000000000000581e-03,-9.039372049492087058e+00
4.722222222222222321e+00,7.780000000000000457e-03,-9.037374757583517493e+00
4.722222222222222321e+00,8.890000000000000333e-03,-9.039067812854197470e+00
4.722222222222222321e+00,1.000000000000000021e-02,-9.038391166440341351e+00
5.777777777777777679e+00,1.000000000000000082e-05,-9.038208258647744131e+00
5.777777777777777679e+00,1.120000000000000119e-03,-9.039492834038604485e+00
5.777777777777777679e+00,2.230000000000000211e-03,-9.038698421761676371e+00
5.777777777777777679e+00,3.340000000000000521e-03,-9.039068031198748798e+00
5.777777777777777679e+00,4.449999999999999963e-03,-9.038762435956181562e+00
5.777777777777777679e+00,5.559999999999999838e-03,-9.038790739030988064e+00
5.777777777777777679e+00,6.670000000000000581e-03,-9.037584338895891634e+00
5.777777777777777679e+00,7.780000000000000457e-03,-9.038265377218861474e+00
5.777777777777777679e+00,8.890000000000000333e-03,-9.039740238877982392e+00
5.777777777777777679e+00,1.000000000000000021e-02,-9.037888364625869642e+00
6.833333333333333925e+00,1.000000000000000082e-05,-9.037989982738103834e+00
6.833333333333333925e+00,1.120000000000000119e-03,-9.038806031061618285e+00
6.833333333333333925e+00,2.230000000000000211e-03,-9.038046980632577387e+00
6.833333333333333925e+00,3.340000000000000521e-03,-9.037284609017355308e+00
6.833333333333333925e+00,4.449999999999999963e-03,-9.038082162089549954e+00
6.833333333333333925e+00,5.559999999999999838e-03,-9.038124747715945873e+00
6.833333333333333925e+00,6.670000000000000581e-03,-9.038914278738843677e+00
6.833333333333333925e+00,7.780000000000000457e-03,-9.038841304696507706e+00
6.833333333333333925e+00,8.890000000000000333e-03,-9.038219869558428599e+00
6.833333333333333925e+00,1.000000000000000021e-02,-9.038486351342074343e+00
7.888888888888889284e+00,1.000000000000000082e-05,-9.038948722162052363e+00
7.888888888888889284e+00,1.120000000000000119e-03,-9.038539579758772646e+00
7.888888888888889284e+00,2.230000000000000211e-03,-9.037412028364505190e+00
7.888888888888889284e+00,3.340000000000000521e-03,-9.039212542340617773e+00
7.888888888888889284e+00,4.449999999999999963e-03,-9.037461029483354835e+00
7.888888888888889284e+00,5.559999999999999838e-03,-9.037340748642003874e+00
7.888888888888889284e+00,6.670000000000000581e-03,-9.040069959435479419e+00
7.888888888888889284e+00,7.780000000000000457e-03,-9.037574747027033339e+00
7.888888888888889284e+00,8.890000000000000333e-03,-9.039028146002273445e+00
7.888888888888889284e+00,1.000000000000000021e-02,-9.038511797457802643e+00
8.944444444444444642e+00,1.000000000000000082e-05,-9.039530102457346672e+00
8.944444444444444642e+00,1.120000000000000119e-03,-9.039558011379449809e+00
8.944444444444444642e+00,2.230000000000000211e-03,-9.038851604840905551e+00
8.944444444444444642e+00,3.340000000000000521e-03,-9.037743793041933316e+00
8.944444444444444642e+00,4.449999999999999963e-03,-9.041822591054433644e+00
8.944444444444444642e+00,5.559999999999999838e-03,-9.039711244282662150e+00
8.944444444444444642e+00,6.670000000000000581e-03,-9.038124900622753088e+00
8.944444444444444642e+00,7.780000000000000457e-03,-9.037113393780789039e+00
8.944444444444444642e+00,8.890000000000000333e-03,-9.039541136288780976e+00
8.944444444444444642e+00,1.000000000000000021e-02,-9.038416574800168135e+00
1.000000000000000000e+01,1.000000000000000082e-05,-9.039691807629829157e+00
1.000000000000000000e+01,1.120000000000000119e-03,-9.037916750012460199e+00
1.000000000000000000e+01,2.230000000000000211e-03,-9.039083597219686794e+00
1.000000000000000000e+01,3.340000000000000521e-03,-9.038141703174112251e+00
1.000000000000000000e+01,4.449999999999999963e-03,-9.039033469012089483e+00
1.000000000000000000e+01,5.559999999999999838e-03,-9.036360886626518152e+00
1.000000000000000000e+01,6.670000000000000581e-03,-9.038122950440332204e+00
1.000000000000000000e+01,7.780000000000000457e-03,-9.036730275399937895e+00
1.000000000000000000e+01,8.890000000000000333e-03,-9.038097990804804027e+00
1.000000000000000000e+01,1.000000000000000021e-02,-9.038581455791550923e+00
